co,co2,no2,so2,o3,pm25,pm10,aqi_lag_1,aqi_lag_3,aqi_lag_6,aqi_roll_mean_3,aqi_roll_std_3
286.0,445.0,1.3,0.6,86.0,8.2,11.8,35.2,38.8,27.82,36.93,1.80
284.0,445.0,1.3,0.7,85.0,8.0,11.5,34.4,36.8,32.00,35.47,1.22
297.0,446.0,2.6,0.9,83.0,7.5,10.7,34.0,35.2,40.00,34.53,0.61
324.0,446.0,5.1,1.1,81.0,7.4,10.7,33.2,34.4,38.80,33.87,0.61
367.0,445.0,8.8,1.3,78.0,7.6,10.9,32.4,34.0,36.80,33.20,0.80
425.0,447.0,14.6,1.7,71.0,9.0,12.9,31.2,33.2,35.20,32.27,1.01
523.0,453.0,24.9,2.4,57.0,12.1,17.3,28.4,32.4,34.40,30.67,2.05
638.0,461.0,37.2,3.2,38.0,14.4,20.7,23.86,31.2,34.00,27.82,3.71
698.0,466.0,24.7,3.5,45.0,12.5,17.9,23.69,28.4,33.20,25.32,2.67
656.0,464.0,25.1,3.6,42.0,13.1,18.7,23.63,23.86,32.40,23.73,0.12
560.0,459.0,25.5,3.8,38.0,13.4,19.2,23.48,23.69,31.20,23.60,0.11
481.0,457.0,25.3,3.9,34.0,13.4,19.1,23.33,23.63,28.40,23.48,0.15
2025-12-15T23:49:39.631128,0.5,22,8,45,35,70
